"mes","receitamensal"
2010-12-01 00:00:00.000,567142.5900000000073699
2011-01-01 00:00:00.000,566098.1400000000047906
2011-02-01 00:00:00.000,444664.3100000000058027
2011-03-01 00:00:00.000,592155.2500000000065569
2011-04-01 00:00:00.000,463498.7510000000058173
2011-05-01 00:00:00.000,675938.6000000000070152
2011-06-01 00:00:00.000,656922.5400000000062883
2011-07-01 00:00:00.000,597697.6310000000062791
2011-08-01 00:00:00.000,642425.9000000000056422
2011-09-01 00:00:00.000,947856.6510000000097395
2011-10-01 00:00:00.000,1028184.5200000000087711
2011-11-01 00:00:00.000,1147051.0900000000113307
2011-12-01 00:00:00.000,515110.5300000000039885
