"pais","receita"
United Kingdom,7250857.2730000000758626
Netherlands,285446.3400000000007630
EIRE,265245.9600000000030878
Germany,227618.6100000000020974
France,208820.1000000000016517
Australia,139810.750000000000916
Spain,60247.9400000000004641
Switzerland,56419.2900000000006020
Belgium,41551.2600000000005025
Sweden,38367.830000000000674
Japan,37416.369999999999832
Norway,35701.6400000000004028
Portugal,33252.9900000000004413
Finland,22344.4800000000001905
Channel Islands,20440.5400000000001625
Denmark,18460.670000000000675
Italy,17483.240000000000298
Singapore,15285.380000000000034
Cyprus,14023.310000000000169
Austria,9483.500000000000126
Poland,7334.6500000000000980
Israel,7215.8400000000000385
Greece,4760.5200000000000228
Iceland,4310.000000000000054
Canada,3666.380000000000018
USA,3580.390000000000017
Malta,2725.590000000000027
Unspecified,2651.2200000000000190
United Arab Emirates,1902.2800000000000075
Lebanon,1693.880000000000030
Lithuania,1661.060000000000006
European Community,1300.250000000000040
Brazil,1143.600000000000013
RSA,1002.310000000000009
Czech Republic,826.740000000000019
Bahrain,548.400000000000012
Saudi Arabia,145.920000000000009
